tight binding,resists dislodgement,,bubble-rafting,precursor to powered flight,,twitching and gliding movements,maneuvering through the water column,ballistospore discharge,sweeping sand,,,,,,,,,,elevated temperature,heat damage,freezing and thawing,,,IR-resistance,,direction of thrust,,,,controls skin stiffness,,,,,microtubule ‘catastrophe’,,,,,,,,animal diversity,,,microtubule polymerization,,,,,,muscles contract,,,,,,,,,,,,,,,signaling molecules,,,,,,,,,,,,,,feeding kinematics,,,,,,,,,,elastic energy saving,,,,,treatment of wastewater,iridescence,pigment granules,cryptic,
bind together,cling to,,bubble-rafting snails,mechanics of gliding,,gliding movements,take off or land on the water surface,free flapping flight,digging into sand,,,,,,,,,,heat loss,,melting,,,irradiation,,thrust direction,,,,geometry of the deformation,,,,,microtubule ‘rescue’,,,,,,,,plant diversity,,,huddling behaviour,,,,,,muscles to contract,,,,,,,,,,,,,,,signalling molecules,,,,,,,,,,,,,,catch prey,,,,,,,,,,stores energy,,,,,physical filtration,iridescent,reflective,crypsis,
crosslinking,switchable adhesion,,floats and rafting evolved,short glides,,propel the seeds on and into the ground,swam continuously,propelled through the air,sweeping away sand,,,,,,,,,,thermal maximum,,cryoprotectant,,,,,total force produced,,,,static modulus of elasticity,,,,,microtubule catastrophe,,,,,,,,community diversity,,,,,,,,,wave energy,,,,,,,,,,,,,,,signal molecules,,,,,,,,,,,,,,,,,,,,,,,,stored energy catapult,,,,,eutrophication,appear {colors},chemical composition,,
crosslink,foot adhesion,,sailing on the water surface,wind pollination,,induce the the motility required for seed dispersal,lift-based swimming,birds flying,sand is excavated,,,,,,,,,,thermal gradient,,supercooling,,,,,"direction of the resultant force, the thrust",,,,dynamic structural stiffness,,,,,microtubule rescue,,,,,,,,wetland biodiversity,,,,,,,,,,,,,,,,,,,,,,,,listening in,,,,,,,,,,,,,,,,,,,,,,,,elastic recoil,,,,,reduce the input of nutrients to freshwater and marine environments,turn {colors},,,
cross-linked,tarsal adhesion,,passive propulsion,gliding arboreal mammal,,climb smooth surfaces,swims forward and backward,flying insects,,,,,,,,,,,high-temperature,,supercool,,,,,aerodynamic torque,,,,dynamic stiffness,,,,,Microtubule catastrophe and rescue,,,,,,,,species richness,,,,,,,,,,,,,,,,,,,,,,,,broadcasting to,,,,,,,,,,,,,,,,,,,,,,,,fast recoil,,,,,nutrient removal,from {colors} to {colors},,,
cross-link,releases a substrate,,without expending any energy,gliding mammal,,"climb smooth, vertical surfaces",backward swimming and maneuvering,flight control,,,,,,,,,,,thermogenic,,freezing/melting,,,,,fluid drag,,,,,,,,,variability in growth rate,,,,,,,,species-rich,,,,,,,,,,,,,,,,,,,,,,,,quorum sensing,,,,,,,,,,,,,,,,,,,,,,,,store and rapidly release elastic energy,,,,,,{colors} is caused by,,,
cross-linking,suction,,exposed to wave action,,,climbing on smooth surfaces,forward undulatory swimming,insect flight,,,,,,,,,,,heat production,,chilling,,,,,fluid flow,,,,,,,,,during ontogeny,,,,,,,,species diversity,,,,,,,,,,,,,,,,,,,,,,,,signaling networks,,,,,,,,,,,,,,,,,,,,,,,,elastic recoil mechanism,,,,,,iridescent {colors},,,
glue together,clasping,,neutral buoyancy,,,drilling into the ground,aquabatic maneuvers,flapping insects,,,,,,,,,,,thermal window,,antifreeze,,,,,generate thrust,,,,,,,,,developmental patterns,,,,,,,,organismal diversity,,,,,,,,,,,,,,,,,,,,,,,,signalling networks,,,,,,,,,,,,,,,,,,,,,,,,elastic-recoil mechanism,,,,,,vivid {colors},,,
adhesion force,enhance grip,,float on the water,,,self-burial,acrobatic underwater maneuvers,wing motions,,,,,,,,,,,thermal conditions,,,,,,,lift force,,,,,,,,,ontogenetic phases,,,,,,,,distributions of species,,,,,,,,,,,,,,,,,,,,,,,,cell-to-cell communication,,,,,,,,,,,,,,,,,,,,,,,,elastic projection mechanism,,,,,,vivid color,,,
adhesion strength,suctorial proboscis,,float downstream,,,steady-speed hopping,swimming maneuvers,hovering flight,,,,,,,,,,,heat balance,,,,,,,drag force,,,,,,,,,ontogenetic stages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,signal processing,,,,,,,,,,,,,,,,,,,,,,,,energy–storage–and–release mechanism,,,,,,vivid colour,,,
bacterial adhesin,suctorial,,floating along,,,hopped at different speeds,swim by jet propulsion,hovering,,,,,,,,,,,thermoregulation,,,,,,,reynold's number,,,,,,,,,early ontogenetic stages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avoidance resonse,,,,,,,,,,,,,,,,,,,,,,,,energy–storage–and–release,,,,,,bright color,,,
irreversible linkage,capillary adhesion,,,,,hopping speeds,at a swimming speed,insect hovering,,,,,,,,,,,heat transfer,,,,,,,yaw,,,,,,,,,able to rear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,signal translator,,,,,,,,,,,,,,,,,,,,,,,,energy storage and release,,,,,,bright colour,,,
biological adhesives,remain stuck for long periods of time,,,,,speed of hopping,maximum swimming velocity,flight stroke,,,,,,,,,,,energy exchange,,,,,,,pitch,,,,,,,,,brood care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chemical signal,,,,,,,,,,,,,,,,,,,,,,,,elastic–energy release,,,,,,microstructures,,,
biomineralized adhesive,Van der Waals forces,,,,,hopping of kangaroos,aquatic animal locomotion,catapult pollen into the air,,,,,,,,,,,shortwave irradiation,,,,,,,angle of attack,,,,,,,,,breeding patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interaction network,,,,,,,,,,,,,,,,,,,,,,,,catapult mechanism,,,,,,reflectance,,,
attachment strength,capillary forces,,,,,mode of locomotion,aquatic animals swimming,flapping wing,,,,,,,,,,,longwave irradiation,,,,,,,angles of attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promoting the germination,,,,,,,,,,,,,,,,,,,,,,,,stored elastic energy,,,,,,absorbance,,,
bioadhesive,arresting system,,,,,seed burial,fishes moving through turbulent flows,flapping insect wings,,,,,,,,,,,latent heat,,,,,,,vortex shedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actions on,,,,,,,,,,,,,,,,,,,,,,,,energy storage,,,,,,surface structures,,,
bio-adhesive,fixation system,,,,,self-planting,engaged in undulatory swimming,clap and fling,,,,,,,,,,,conduction,,,,,,,airfoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,events involved in,,,,,,,,,,,,,,,,,,,,,,,,legs are cocked,,,,,,nanostructures,,,
adhesives,passive sucker,,,,,sliding motility,trout swimming,clap-and-fling,,,,,,,,,,,convection,,,,,,,airflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,information flow,,,,,,,,,,,,,,,,,,,,,,,,potential energy stored,,,,,,photonic crystals,,,
web glue,viscous resistance for adhesion,,,,,penetrating human skin,swim path,fly through the air,,,,,,,,,,,heat storage,,,,,,,aerodynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recognition mechanisms,,,,,,,,,,,,,,,,,,,,,,,,strain energy,,,,,,film interference,,,
insect attachment,detaching easily,,,,,burrowing mechanics,surface lunging,,,,,,,,,,,,surface temperature,,,,,,,leading-edge vortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recognize and/or reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diffraction grating,,,
surface-adherent,slow peeling,,,,,burrow into the soil,circular swimming/thrashing,,,,,,,,,,,,temperature change,,,,,,,leading edge vortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regulating discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thin-film interference,,,
adhesive protein,reversible attachment/detachment,,,,,locomotion,propulsion in the lamprey,,,,,,,,,,,,physiological temperature,,,,,,,wing-wake interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dependent discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multi-film interference,,,
biological glue,reversible attachment,,,,,walking and running birds,deep dives,,,,,,,,,,,,cold-adapted,,,,,,,aerodynamic forces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shift frequency specificity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coherent scattering,,,
spider silk glue,reversible detachment,,,,,locomotor kinematics,fluid is carried with the spore during discharge,,,,,,,,,,,,cold temperature adaptation,,,,,,,leading-edge vortices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,match the movements of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,incoherent scattering,,,
frog glue,releasable attachment,,,,,during running,surface-tension force is broken,,,,,,,,,,,,cold temperature-dependent,,,,,,,lift production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,providing signals for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ultraviolet,,,
glue-like adhesion,suctorial,,,,,grounded running,walk on solid substrates under water,,,,,,,,,,,,radiative temperature control,,,,,,,lift characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color signalling,,,
tacky elastic solid,suctorial organ,,,,,locomotor performance,sweeping it through the water,,,,,,,,,,,,radiative cooling,,,,,,,lift and drag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color signaling,,,
underwater adhesive,liquid-mediated attachment,,,,,level running,rapid swimming,,,,,,,,,,,,thermal emission,,,,,,,leading-edge spiral vortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colour signalling,,,
bonding adhesive,adhesive setae,,,,,soil burrows,swimming kinematics,,,,,,,,,,,,heat loss,,,,,,,vortex attachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colour signaling,,,
cement complex,hairy adhesive pads,,,,,running vertebrates,underwater speed,,,,,,,,,,,,thermoneutral,,,,,,,clap and fling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enhance coloration,,,
barnacle cement,locomotion activity,,,,,hopping speed,move through the water,,,,,,,,,,,,freeze tolerant,,,,,,,clap-and-fling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enhance colouration,,,
cement polymerization,maintain attachment,,,,,level hopping,jump rapidly from water,,,,,,,,,,,,freeze tolerance,,,,,,,force and thrust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polarized light,,,
animal glues,suction pad attachment,,,,,incline hopping,swimming shark,,,,,,,,,,,,freezing tolerance,,,,,,,drag reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irreversible gelation,adhesive toe pads,,,,,incline locomotion,motion between themselves and the liquid that surrounds them,,,,,,,,,,,,heat exchange,,,,,,,form drag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extremely adhesive,wet adhesion,,,,,terrestrial lateral undulation,swiftly swim,,,,,,,,,,,,body temperature increase,,,,,,,vortex ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adhesive recruitment,capillary and viscous forces,,,,,concertina locomotion,quickly dive,,,,,,,,,,,,low temperature,,,,,,,vortex wake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capture threads,tree frog toe pad,,,,,climbing plants,swim and dive,,,,,,,,,,,,effects of temperature,,,,,,,wake flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adhesion generated,adhesive locomotion,,,,,penetrate tissue,kicking water,,,,,,,,,,,,,,,,,,,wake vortical pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recruits the adhesion of,non-adhesive trail mucus,,,,,jumping performance,propulsion in swimming,,,,,,,,,,,,,,,,,,,drag coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
measure the stickiness,non-adhesive,,,,,jump performance,swimming frog,,,,,,,,,,,,,,,,,,,thrust generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glycoprotein glue,adhesive foot,,,,,short range jump,jet propulsion,,,,,,,,,,,,,,,,,,,drag–thrust equilibrium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summing the adhesion,adhere to smooth surface,,,,,ground reaction force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resinous secretion,grasping mechanism,,,,,sliding in forward direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secure attachment,grip and detachment,,,,,legless locomotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomechanics of attachment,grasping forces,,,,,slithering locomotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attaching to supports,angles of detachment,,,,,slithering of snakes on flat surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attachment mechanisms,multiple adhering,,,,,limbless locomotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oyster cement,sucker-footed,,,,,walk on solid substrates under water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mussel and barnacle adhesives,adhesive locomotion,,,,,vertical jumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barnacle adhesive,tissue adhesion,,,,,jumping capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mussel adhesive,adhesive setae,,,,,vertebrate locomotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,power jumping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,during jumping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
